"HolderAddress","Balance","PendingBalanceUpdate"
"0x962653ca081ec8c96729075d5b185a4d43da0583","100,000","No"
"0x87bb89f10dd62cde0ad4777448e995556860dc18","100,000","No"
"0xe554b2d1466fbe41187e0ef1aa7007648db49b62","100,000","No"
"0xfde15b3df1e92b0763f71547da993e677f7ed349","100,000","No"
"0xd349d18b78a5b4b5814e51be89c4182eaf9c225c","100,000","No"
"0x83eb12843530711594722d6bad9dd3beda896ce3","100,000","No"
"0xa96276ae4627874d9dc11a576c7b54833627e7b6","100,000","No"
"0x259f6f8b2ccd8ad6f260db2d1775670104d415f1","100,000","No"
"0xf0c74386a236d10c1513a3b19e9d15fb4f054619","100,000","No"
"0x89c94e134820832e8f9e8a451d98a4511897de6b","100,000","No"
"0x5c63df4d1f56e8bbb9e2846e38c975aed500f1d2","100,000","No"
"0xaee8eb13b69a961cdfa149cb1841c6b320c8b0e8","100,000","No"
"0xcfc741faac7e381ba153d1e5d5a3e923550df9d5","100,000","No"
"0x002675a2050f7b9c4ac72e01033e1429456f08bb","100,000","No"
"0x46c53191ba37cb6180443cd5495899d2df0dcfdb","100,000","No"
"0x1accfeccc3d0249247c9576f39d86892990e368d","100,000","No"
"0xbc0358f0dfc79c65ae8400e5e8faba1921437226","100,000","No"
"0xd8f869fb22d691abdba2c79155d4551f8900a0cd","100,000","No"
"0x79c0672b4c41e153f547cc9bd872e1f35dd3fcb8","100,000","No"
"0xbb932f5fc38bebe5c36946918803e2b2fcbce8ec","100,000","No"
"0x06b6dd1eb957fb97b2beadf3bad438be4bdb1027","100,000","No"
"0x5035132aca5d56c477a36c6b28cac9ed4ec7aecf","100,000","No"
"0x86239c69b8ef856a99a3c9c16ed63cfbc9dad339","100,000","No"
"0x583c4e4c10767e9fb6130cd23807773fa22c41f1","100,000","No"
"0x83a0b1907045c511c27a2f84df04f9effd87c666","100,000","No"
"0x7048faf5a85086e04d8b3e044c3374500f8e7418","100,000","No"
"0xd9186388140cea4029556c1650447549e51a1978","100,000","No"
"0x9fb90d60465b0832bf9e22929bac31a4adaa27ff","100,000","No"
"0xa37131f71187e552ab20f08090091e5634d30f2e","100,000","No"
"0xf74c24fb849cd112e5ae86f68834a73e207e466c","100,000","No"
"0xceda2558ddd43535808a30266906c4b392f60777","100,000","No"
"0xd55622c435fa5541a418eed2e9966e80321a431a","100,000","No"
"0xbf7668020e22da49850009d9d5f5faa066e87966","100,000","No"
"0xc35dc3d7ecc6f722a5c4a70925589ba3cea8b262","100,000","No"
"0xd152c4c745655d6185444532ca96086166a20f70","100,000","No"
"0x04017558e22e6bbf1f73f957d4a777412ccc8034","100,000","No"
"0x6008d40f01ba3e8973e6a34d4e1f0f757c7b4639","100,000","No"
"0x590f5a22e59832e3f109c30db4265f58b9a8e4a1","100,000","No"
"0x93b81d745c78df588c130ca672116ae838e4b7d6","100,000","No"
"0xe2eb84bc47c81881463a5f639ec541f75f3e7bcf","100,000","No"
"0xd3b30c53ce1f0fe13fc684e67f38fa35f3f2697b","100,000","No"
"0xaaea7cb7dbb3dde25db79fe5ee09c42c18779e15","100,000","No"
"0x3735f16e5edaba9183b52e0a33b07aa08e406ca7","100,000","No"
"0x8ccf271a6101451fffb4a05b6d9bcc9f4265c476","100,000","No"
"0x98d529f4af812abb0eb50263644286ae41b1fe01","100,000","No"
"0x52accb02c41b51574c970a6964b1346800458672","100,000","No"
"0xbbdb751c41ae4cf142dcb509d7d2e4ff1a723d01","100,000","No"
"0x781ba03779b4fa813aa00526756d7e544108387c","100,000","No"
"0x3ffb21b1a1f45c309d7a6d96a722659eec475279","100,000","No"
"0x4fe5ec10f77f874c9904c4c8bd63cb06e721ac5f","100,000","No"
"0x897805dec13fa001b82704f13fc50c247348529f","100,000","No"
"0x0695c002309d89cc8d53978d73ae1cd9b051cbdb","100,000","No"
"0x8aea582c116a6a50f84c7c2c1dafc0953dad4566","100,000","No"
"0x711389b62e69ad88c3fa16a001538f71c2737b68","100,000","No"
"0x79f4c09ac1191cb7b48f70def574d4758fb4234e","100,000","No"
